>> Starting the game...
>> MAC Adress: 54-2A-A2-90-3F-F3
>> true
>> Initializing the key listener
>> Initializing the key listener
>> Game started in 636 ms.
>> Mouse state: 966 495 -1
>> Mouse state: 965 495 -1
>> Mouse state: 964 497 -1
>> Mouse state: 962 498 -1
>> Mouse state: 962 499 -1
>> Mouse state: 961 499 -1
>> Mouse state: 961 500 -1
>> Mouse state: 961 501 -1
>> Mouse state: 962 502 -1
>> Mouse state: 963 505 -1
>> Mouse state: 965 508 -1
>> Mouse state: 965 511 -1
>> Mouse state: 966 515 -1
>> Mouse state: 966 518 -1
>> Mouse state: 966 519 -1
>> Mouse state: 965 523 -1
>> Mouse state: 965 524 -1
>> Mouse state: 963 530 -1
>> Mouse state: 960 536 -1
>> Mouse state: 957 543 -1
>> Mouse state: 952 552 -1
>> Mouse state: 948 557 -1
>> Mouse state: 943 564 -1
>> Mouse state: 936 572 -1
>> Mouse state: 935 574 -1
>> Mouse state: 930 579 -1
>> Mouse state: 924 585 -1
>> Mouse state: 918 591 -1
>> Mouse state: 910 598 -1
>> Mouse state: 902 605 -1
>> Mouse state: 891 615 -1
>> Mouse state: 882 623 -1
>> Mouse state: 872 632 -1
>> Mouse state: 862 640 -1
>> Mouse state: 859 643 -1
>> Mouse state: 852 649 -1
>> Mouse state: 842 658 -1
>> Mouse state: 829 669 -1
>> Mouse state: 819 678 -1
>> Mouse state: 809 687 -1
>> Mouse state: 799 696 -1
>> Mouse state: 788 705 -1
>> Mouse state: 785 707 -1
>> Mouse state: 774 716 -1
>> Mouse state: 764 725 -1
>> Mouse state: 753 734 -1
>> Mouse state: 742 743 -1
>> Mouse state: 731 752 -1
>> Mouse state: 720 761 -1
>> Mouse state: 709 768 -1
>> Mouse state: 696 777 -1
>> Mouse state: 687 783 -1
>> Mouse state: 677 789 -1
>> Mouse state: 669 794 -1
>> Mouse state: 661 797 -1
>> Mouse state: 655 800 -1
>> Mouse state: 648 803 -1
>> Mouse state: 644 804 -1
>> Mouse state: 641 805 -1
>> Mouse state: 639 806 -1
>> Mouse state: 638 807 -1
>> Mouse state: 637 807 -1
>> Mouse state: 636 807 -1
>> Mouse state: 636 808 -1
>> Mouse state: 635 808 -1
>> Mouse state: 635 809 -1
>> Mouse state: 634 810 -1
>> Mouse state: 634 811 -1
>> Mouse state: 634 812 -1
>> Mouse state: 634 814 -1
>> Mouse state: 634 818 -1
>> Mouse state: 635 822 -1
>> Mouse state: 635 827 -1
>> Mouse state: 636 831 -1
>> Mouse state: 637 835 -1
>> Mouse state: 638 839 -1
>> Mouse state: 639 842 -1
>> Mouse state: 639 844 -1
>> Mouse state: 640 846 -1
>> Mouse state: 640 847 -1
>> Mouse state: 640 848 -1
>> Mouse state: 641 850 -1
>> Mouse state: 641 851 -1
>> Mouse state: 641 854 -1
>> Mouse state: 641 857 -1
>> Mouse state: 642 860 -1
>> Mouse state: 642 864 -1
>> Mouse state: 642 865 -1
>> Mouse state: 642 867 -1
>> Mouse state: 642 871 -1
>> Mouse state: 642 874 -1
>> Mouse state: 643 876 -1
>> Mouse state: 643 877 -1
>> Mouse state: 642 878 -1
>> Mouse state: 642 879 -1
>> Mouse state: 1284 879 -1
>> Mouse state: 1290 879 -1
>> Mouse state: 1295 879 -1
>> Mouse state: 1305 879 -1
>> Mouse state: 1308 879 -1
>> Mouse state: 1314 879 -1
>> Mouse state: 1321 879 -1
>> Mouse state: 1323 879 -1
>> Key listener closed.
>> Mouse listener closed.
>> Stopping the game...
>> Game stopped in 0 ms.
